chain_id,sample_idx,correct,output_tokens,n_steps,v0_synthetic_cpu_min,v0_synthetic_cpu_mean
315ae0ca4e,3,1,244,7,0.97526,0.99268
58e6ca5485,0,1,389,10,0.56161,0.92831
58e6ca5485,1,1,402,15,0.7689,0.98056
58e6ca5485,2,1,485,12,0.91324,0.98698
58e6ca5485,3,1,435,13,0.65238,0.96632
27bfdc2f7c,0,1,303,7,0.96266,0.98827
27bfdc2f7c,1,1,330,7,0.81342,0.96015
27bfdc2f7c,2,1,256,11,0.85137,0.97545
27bfdc2f7c,3,1,333,9,0.95097,0.98463
404e1413fc,0,1,213,12,0.53499,0.95615
404e1413fc,1,1,227,14,0.96587,0.99518
404e1413fc,2,1,216,12,0.58227,0.96075
404e1413fc,3,1,210,10,0.95642,0.99226
9d77dda84e,0,1,209,9,0.98746,0.99649
9d77dda84e,1,1,222,6,0.97433,0.99243
9d77dda84e,2,1,191,7,0.97953,0.99258
9d77dda84e,3,1,275,9,0.9828,0.99509
2aec842201,0,1,245,9,0.95661,0.98735
2aec842201,1,1,260,12,0.72897,0.96058
2aec842201,2,1,251,10,0.97005,0.99254
2aec842201,3,1,227,9,0.89938,0.97535
04bc2c7444,0,1,266,10,0.88626,0.98117
04bc2c7444,1,1,240,8,0.0206,0.74198
04bc2c7444,2,1,268,8,0.11576,0.86161
04bc2c7444,3,1,226,8,0.85048,0.96763
74c6e4b9d5,0,1,272,13,0.07284,0.86863
74c6e4b9d5,1,1,463,18,0.9666,0.99142
74c6e4b9d5,2,1,346,14,0.03662,0.87311
74c6e4b9d5,3,1,323,12,0.09097,0.89999
c6af2c903e,0,0,512,16,0.98444,0.99429
c6af2c903e,1,1,512,18,0.63067,0.96749
c6af2c903e,2,0,512,14,0.65466,0.96492
c6af2c903e,3,0,512,16,0.98527,0.99433
5894f503d7,0,1,215,5,0.97373,0.98688
5894f503d7,1,1,283,5,0.98381,0.99148
5894f503d7,2,1,143,3,0.04975,0.65485
5894f503d7,3,1,198,8,0.98953,0.99451
0f17c9d4d6,0,1,382,14,0.985,0.99494
0f17c9d4d6,1,1,512,17,0.8008,0.9745
0f17c9d4d6,2,1,346,16,0.98259,0.99434
0f17c9d4d6,3,0,512,16,0.83317,0.98391
f18d55fcf1,0,1,238,11,0.77566,0.97242
f18d55fcf1,1,0,308,12,0.00792,0.82898
f18d55fcf1,2,0,420,13,0.05404,0.90367
f18d55fcf1,3,0,452,14,0.00222,0.84513
7017227e9c,0,1,253,7,0.26247,0.86995
7017227e9c,1,1,287,11,0.43969,0.93646
7017227e9c,2,1,327,13,0.02259,0.915
7017227e9c,3,1,241,11,0.78102,0.96477
4d58bf747d,0,1,376,12,0.96547,0.99038
4d58bf747d,1,0,377,10,0.01755,0.78493
4d58bf747d,2,1,299,8,0.96276,0.98268
4d58bf747d,3,1,244,9,0.96533,0.9886
08b959a37f,0,1,174,6,0.91622,0.98143
08b959a37f,1,1,215,6,0.9848,0.99056
08b959a37f,2,1,204,9,0.98014,0.99415
08b959a37f,3,1,138,8,0.62127,0.94914
a906c664bb,0,1,218,5,0.97445,0.98314
a906c664bb,1,1,198,6,0.77105,0.93697
a906c664bb,2,1,190,5,0.96531,0.98228
a906c664bb,3,1,190,6,0.35073,0.87511
b476c01e6e,0,0,512,20,0.2178,0.9174
b476c01e6e,1,1,277,12,0.43011,0.93807
b476c01e6e,2,1,394,13,0.90473,0.98602
b476c01e6e,3,1,354,14,0.1981,0.90917
d0006e7cb1,0,0,355,13,0.88944,0.9854
d0006e7cb1,1,1,313,13,0.63551,0.95635
d0006e7cb1,2,1,292,12,0.98834,0.9946
d0006e7cb1,3,1,382,15,0.97602,0.99526
2fc8bafb0c,0,1,185,9,0.21014,0.9062
2fc8bafb0c,1,1,154,6,0.86236,0.97269
2fc8bafb0c,2,1,179,7,0.40769,0.90669
2fc8bafb0c,3,1,187,10,0.86906,0.98036
d450d94e73,0,0,244,10,0.97672,0.99229
d450d94e73,1,1,242,9,0.97864,0.99246
d450d94e73,2,0,208,10,0.96824,0.99059
d450d94e73,3,0,217,9,0.89817,0.98409
a59a59f041,0,1,186,6,0.9636,0.98865
a59a59f041,1,1,188,9,0.78885,0.95183
a59a59f041,2,1,206,9,0.84663,0.97681
a59a59f041,3,1,193,8,0.97222,0.99204
05e339d26e,0,0,288,7,0.01433,0.69936
05e339d26e,1,1,169,9,0.41652,0.92385
05e339d26e,2,1,276,12,0.87591,0.98389
05e339d26e,3,1,140,7,0.90113,0.97332
001e2190dc,0,1,329,8,0.92575,0.9804
001e2190dc,1,0,318,10,0.47357,0.93731
001e2190dc,2,1,405,11,0.91705,0.98751
001e2190dc,3,1,367,9,0.9216,0.98022
2648f668c0,0,1,321,9,0.25317,0.90319
2648f668c0,1,1,414,13,0.07226,0.91832
2648f668c0,2,1,426,8,0.95678,0.9819
2648f668c0,3,1,339,10,0.80278,0.9667
55b8e42ff4,0,1,180,6,0.96672,0.99031
55b8e42ff4,1,1,163,6,0.96344,0.99058
55b8e42ff4,2,1,186,5,0.93126,0.98088
55b8e42ff4,3,1,202,9,0.16129,0.89626
6f7ea99556,0,1,295,14,0.95828,0.99017
6f7ea99556,1,1,314,9,0.19942,0.87496
6f7ea99556,2,1,366,15,0.96842,0.99309
6f7ea99556,3,1,280,10,0.92316,0.97687
f0d59e71f0,0,1,161,7,0.98789,0.99443
f0d59e71f0,1,1,213,7,0.98633,0.99352
f0d59e71f0,2,1,230,9,0.98299,0.99316
f0d59e71f0,3,1,165,8,0.84733,0.97752
55f2cb4338,0,1,354,12,0.47475,0.91424
55f2cb4338,1,0,318,12,0.9834,0.99606
55f2cb4338,2,0,370,14,0.69212,0.94345
55f2cb4338,3,0,311,13,0.95611,0.99288
386d5ebe2f,0,1,310,21,0.96556,0.99412
386d5ebe2f,1,1,283,11,0.12703,0.91143
386d5ebe2f,2,1,231,15,0.96341,0.99564
386d5ebe2f,3,1,340,14,0.97094,0.9926
c22024a177,0,0,439,19,0.42851,0.94117
c22024a177,1,0,289,11,0.38683,0.91657
c22024a177,2,0,315,10,0.65907,0.94764
c22024a177,3,0,273,10,0.93441,0.98004
b3cf5970b2,0,1,332,12,0.87149,0.98223
b3cf5970b2,1,1,391,17,0.97061,0.9951
b3cf5970b2,2,0,347,15,0.98249,0.99558
b3cf5970b2,3,1,413,14,0.21092,0.88852
5c84fc3a60,0,1,289,12,0.98141,0.99537
5c84fc3a60,1,1,303,12,0.98657,0.99524
5c84fc3a60,2,1,363,8,0.98549,0.99338
5c84fc3a60,3,1,384,11,0.96301,0.99056
35819741e2,0,1,207,4,0.95554,0.97773
35819741e2,1,1,198,6,0.97704,0.99025
35819741e2,2,1,312,6,0.96572,0.98781
35819741e2,3,1,181,5,0.95554,0.97811
80aca3ab08,0,1,367,15,0.85006,0.97801
80aca3ab08,1,0,363,13,0.81362,0.98084
80aca3ab08,2,1,322,9,0.90106,0.97992
80aca3ab08,3,1,311,11,0.94182,0.98553
bb15962871,0,0,324,14,0.196,0.93924
bb15962871,1,1,348,17,0.80535,0.98621
bb15962871,2,1,379,18,0.98286,0.99684
bb15962871,3,1,376,14,0.02625,0.90371
dbfdc8de96,0,1,230,13,0.96433,0.99244
dbfdc8de96,1,1,404,19,0.96005,0.99323
dbfdc8de96,2,1,286,14,0.05298,0.88855
dbfdc8de96,3,1,358,14,0.93159,0.9906
f5deed6b0d,0,1,287,13,0.81565,0.97381
f5deed6b0d,1,1,289,12,0.91193,0.98727
f5deed6b0d,2,1,298,16,0.95082,0.98835
f5deed6b0d,3,1,272,7,0.18426,0.8652
5a65b55981,0,1,347,18,0.97289,0.99634
5a65b55981,1,1,263,7,0.96141,0.98805
5a65b55981,2,1,303,8,0.95004,0.98791
5a65b55981,3,1,383,12,0.9744,0.99209
b91e6ca8e8,0,0,439,13,0.17664,0.88753
b91e6ca8e8,1,0,512,20,0.03761,0.89205
b91e6ca8e8,2,0,451,17,0.92991,0.97907
b91e6ca8e8,3,0,437,16,0.02209,0.86781
9dd0431e96,0,1,231,8,0.92746,0.98372
9dd0431e96,1,1,237,9,0.92505,0.986
9dd0431e96,2,1,191,6,0.78951,0.95117
9dd0431e96,3,1,243,8,0.92755,0.97799
b8bf5ec3b1,0,1,293,14,0.93315,0.99061
b8bf5ec3b1,1,1,289,13,0.98555,0.99625
b8bf5ec3b1,2,1,253,11,0.9792,0.99416
b8bf5ec3b1,3,1,266,12,0.9712,0.99354
3b3aad814c,0,1,199,8,0.9891,0.99499
3b3aad814c,1,1,171,5,0.96792,0.98848
3b3aad814c,2,1,176,8,0.9849,0.99316
3b3aad814c,3,1,187,8,0.96245,0.99058
beff955d23,0,1,471,15,0.77287,0.97204
beff955d23,1,1,314,9,0.98172,0.99124
beff955d23,2,1,342,11,0.96898,0.99374
beff955d23,3,1,495,11,0.95584,0.98716
cd55c3d900,0,1,406,19,0.98574,0.99642
cd55c3d900,1,1,301,11,0.98262,0.99313
cd55c3d900,2,0,377,15,0.00958,0.8685
cd55c3d900,3,1,290,13,0.98232,0.99508
ab41dfff30,0,1,250,8,0.96543,0.99229
ab41dfff30,1,1,257,11,0.98067,0.99548
ab41dfff30,2,1,290,10,0.97574,0.99378
ab41dfff30,3,1,251,8,0.98062,0.99442
eee033355f,0,1,188,7,0.98973,0.99692
eee033355f,1,1,293,11,0.97094,0.99169
eee033355f,2,1,240,8,0.96432,0.98987
eee033355f,3,1,236,9,0.98013,0.99313
533d31d1ac,0,1,170,8,0.92625,0.98451
533d31d1ac,1,1,231,9,0.8842,0.98364
533d31d1ac,2,1,178,7,0.03135,0.84364
533d31d1ac,3,1,188,9,0.965,0.9927
72b638d89e,0,1,238,7,0.98006,0.99068
72b638d89e,1,1,191,5,0.87143,0.96521
72b638d89e,2,1,233,7,0.94316,0.98471
72b638d89e,3,1,226,7,0.91298,0.97683
0481b3beea,0,1,275,11,0.98739,0.99634
0481b3beea,1,1,242,8,0.99007,0.99581
0481b3beea,2,1,240,13,0.98569,0.99673
0481b3beea,3,1,246,13,0.98409,0.99548
280977ce54,0,0,225,5,0.58807,0.8714
280977ce54,1,1,217,6,0.80765,0.94454
280977ce54,2,1,186,4,0.96588,0.9851
280977ce54,3,0,283,6,0.56514,0.87855
3182276ffa,0,0,429,16,0.00888,0.85044
3182276ffa,1,1,413,16,0.05257,0.92849
3182276ffa,2,1,450,13,0.04733,0.86967
3182276ffa,3,0,381,10,0.03327,0.80259
570c937186,0,0,298,16,0.04628,0.88869
570c937186,1,1,327,13,0.85419,0.97853
570c937186,2,0,415,12,0.89098,0.97924
570c937186,3,0,273,12,0.07879,0.73377
43d7ddc7db,0,1,311,10,0.00704,0.82222
43d7ddc7db,1,1,328,15,0.61338,0.95192
43d7ddc7db,2,1,288,7,0.01497,0.81103
43d7ddc7db,3,1,373,10,0.01329,0.83584
795404e937,0,1,312,6,0.98488,0.99344
795404e937,1,1,339,14,0.97203,0.99377
795404e937,2,1,302,9,0.98888,0.99599
795404e937,3,1,307,9,0.98767,0.99554
9ce17f3a90,0,1,282,9,0.98458,0.9933
9ce17f3a90,1,1,376,11,0.98287,0.99555
9ce17f3a90,2,1,350,11,0.96363,0.9911
9ce17f3a90,3,1,377,21,0.98502,0.99697
089e836f4a,0,1,147,6,0.9829,0.99475
089e836f4a,1,1,151,6,0.95442,0.98772
089e836f4a,2,1,150,6,0.99163,0.99702
089e836f4a,3,1,141,6,0.90295,0.97915
2a865d2621,0,1,222,4,0.93045,0.97246
2a865d2621,1,1,190,5,0.36151,0.85908
2a865d2621,2,1,223,5,0.92891,0.96989
2a865d2621,3,1,197,8,0.8299,0.97036
e55bc289f7,0,1,200,6,0.97016,0.98958
e55bc289f7,1,1,308,12,0.97524,0.99471
e55bc289f7,2,1,170,8,0.98213,0.99517
e55bc289f7,3,1,232,6,0.98041,0.99372
129bf497af,0,1,245,7,0.11141,0.85453
129bf497af,1,1,283,12,0.10726,0.86341
